DISTRICTNO,dvs,rvs,margin,winner
1,0.726,0.255,0.471,d
2,0.707,0.274,0.433,d
3,0.95,0.029,0.922,d
4,0.919,0.055,0.864,d
5,0.926,0.051,0.875,d
6,0.897,0.079,0.819,d
7,0.957,0.024,0.933,d
8,0.949,0.031,0.918,d
9,0.936,0.042,0.894,d
10,0.812,0.162,0.651,d
11,0.802,0.172,0.63,d
12,0.64,0.326,0.313,d
13,0.575,0.394,0.181,d
14,0.592,0.372,0.22,d
15,0.694,0.281,0.413,d
16,0.64,0.325,0.315,d
17,0.474,0.494,-0.02,r
18,0.588,0.384,0.204,d
20,0.541,0.439,0.101,d
21,0.613,0.367,0.246,d
22,0.592,0.371,0.221,d
23,0.507,0.469,0.039,d
24,0.484,0.493,-0.009,r
25,0.52,0.455,0.065,d
26,0.636,0.335,0.302,d
27,0.772,0.203,0.569,d
28,0.616,0.352,0.264,d
29,0.718,0.254,0.464,d
30,0.473,0.504,-0.031,r
31,0.557,0.412,0.145,d
32,0.411,0.559,-0.148,r
33,0.42,0.557,-0.137,r
34,0.872,0.102,0.77,d
35,0.835,0.152,0.683,d
36,0.378,0.6,-0.222,r
37,0.645,0.334,0.311,d
38,0.52,0.458,0.062,d
39,0.526,0.453,0.073,d
40,0.566,0.421,0.145,d
41,0.539,0.44,0.099,d
42,0.424,0.551,-0.128,r
43,0.456,0.514,-0.057,r
44,0.422,0.551,-0.129,r
45,0.493,0.488,0.005,d
46,0.413,0.559,-0.145,r
47,0.377,0.596,-0.22,r
48,0.531,0.437,0.094,d
49,0.678,0.292,0.386,d
50,0.561,0.412,0.149,d
51,0.441,0.529,-0.089,r
52,0.582,0.397,0.185,d
53,0.864,0.119,0.745,d
54,0.787,0.184,0.602,d
55,0.797,0.184,0.613,d
56,0.431,0.542,-0.112,r
57,0.443,0.527,-0.084,r
58,0.361,0.604,-0.243,r
59,0.382,0.577,-0.196,r
60,0.739,0.224,0.515,d
61,0.541,0.432,0.109,d
62,0.516,0.446,0.07,d
63,0.432,0.534,-0.101,r
64,0.54,0.421,0.118,d
65,0.426,0.539,-0.112,r
66,0.474,0.491,-0.017,r
67,0.569,0.398,0.17,d
68,0.757,0.212,0.545,d
69,0.713,0.268,0.445,d
70,0.405,0.557,-0.152,r
71,0.526,0.441,0.085,d
72,0.462,0.509,-0.046,r
73,0.445,0.529,-0.084,r
74,0.419,0.546,-0.128,r
75,0.764,0.197,0.567,d
76,0.616,0.355,0.26,d
77,0.446,0.519,-0.073,r
78,0.405,0.56,-0.155,r
79,0.473,0.498,-0.025,r
80,0.408,0.558,-0.15,r
81,0.389,0.576,-0.188,r
82,0.37,0.595,-0.225,r
83,0.412,0.547,-0.135,r
84,0.364,0.605,-0.242,r
85,0.461,0.505,-0.044,r
86,0.408,0.563,-0.155,r
87,0.386,0.578,-0.193,r
88,0.313,0.662,-0.349,r
89,0.415,0.557,-0.141,r
90,0.353,0.619,-0.266,r
91,0.468,0.497,-0.029,r
92,0.625,0.343,0.282,d
93,0.484,0.488,-0.004,r
94,0.446,0.531,-0.085,r
95,0.698,0.276,0.422,d
96,0.579,0.381,0.198,d
97,0.367,0.597,-0.23,r
98,0.457,0.516,-0.059,r
99,0.478,0.49,-0.012,r
100,0.366,0.597,-0.231,r
101,0.474,0.495,-0.021,r
102,0.376,0.586,-0.209,r
103,0.352,0.612,-0.26,r
104,0.476,0.492,-0.017,r
105,0.381,0.586,-0.205,r
106,0.402,0.565,-0.163,r
107,0.433,0.538,-0.106,r
108,0.401,0.574,-0.173,r
109,0.533,0.436,0.097,d
110,0.457,0.514,-0.057,r
