district,office,year,voteShareD_2party,voteShareR_2party,margin_2party,marginText_2party
1,President of the United States,2016,38.1,61.9,-23.7,R+23.7
1,Representative in Congress,2016,40.8,59.2,-18.3,R+18.3
1,Governor,2018,44.9,55.1,-10.2,R+10.2
1,Representative in Congress,2018,42.7,57.3,-14.7,R+14.7
1,United States Senator,2018,44.0,56.0,-12.0,R+12.0
1,President of the United States,2020,40.6,59.4,-18.9,R+18.9
1,Representative in Congress,2020,36.7,63.3,-26.6,R+26.6
1,United States Senator,2020,40.8,59.2,-18.4,R+18.4
2,President of the United States,2016,35.3,64.7,-29.3,R+29.3
2,Representative in Congress,2016,32.5,67.5,-34.9,R+34.9
2,Governor,2018,42.1,57.9,-15.7,R+15.7
2,Representative in Congress,2018,37.4,62.6,-25.3,R+25.3
2,United States Senator,2018,40.6,59.4,-18.9,R+18.9
2,President of the United States,2020,36.0,64.0,-28.0,R+28.0
2,Representative in Congress,2020,33.2,66.8,-33.6,R+33.6
2,United States Senator,2020,35.8,64.2,-28.4,R+28.4
3,President of the United States,2016,50.6,49.4,1.2,D+1.2
3,Representative in Congress,2016,42.7,57.3,-14.6,R+14.6
3,Governor,2018,54.1,45.9,8.2,D+8.2
3,Representative in Congress,2018,50.5,49.5,0.9,D+0.9
3,United States Senator,2018,52.1,47.9,4.2,D+4.2
3,President of the United States,2020,54.8,45.2,9.6,D+9.6
3,Representative in Congress,2020,50.8,49.2,1.7,D+1.7
3,United States Senator,2020,51.6,48.4,3.3,D+3.3
4,President of the United States,2016,44.2,55.8,-11.5,R+11.5
4,Representative in Congress,2016,36.5,63.5,-27.0,R+27.0
4,Governor,2018,48.4,51.6,-3.1,R+3.1
4,Representative in Congress,2018,45.7,54.3,-8.6,R+8.6
4,United States Senator,2018,46.7,53.3,-6.5,R+6.5
4,President of the United States,2020,48.3,51.7,-3.4,R+3.4
4,Representative in Congress,2020,42.3,57.7,-15.3,R+15.3
4,United States Senator,2020,45.7,54.3,-8.6,R+8.6
5,President of the United States,2016,36.7,63.3,-26.6,R+26.6
5,Representative in Congress,2016,36.0,64.0,-28.0,R+28.0
5,Governor,2018,42.9,57.1,-14.2,R+14.2
5,Representative in Congress,2018,40.8,59.2,-18.3,R+18.3
5,United States Senator,2018,41.4,58.6,-17.2,R+17.2
5,President of the United States,2020,38.0,62.0,-23.9,R+23.9
5,Representative in Congress,2020,36.0,64.0,-28.1,R+28.1
5,United States Senator,2020,38.1,61.9,-23.9,R+23.9
6,President of the United States,2016,60.9,39.1,21.9,D+21.9
6,Representative in Congress,2016,60.4,39.6,20.7,D+20.7
6,Governor,2018,64.7,35.3,29.5,D+29.5
6,Representative in Congress,2018,65.2,34.8,30.4,D+30.4
6,United States Senator,2018,63.2,36.8,26.5,D+26.5
6,President of the United States,2020,63.5,36.5,27.0,D+27.0
6,Representative in Congress,2020,63.8,36.2,27.6,D+27.6
6,United States Senator,2020,61.8,38.2,23.5,D+23.5
7,President of the United States,2016,48.4,51.6,-3.3,R+3.3
7,Representative in Congress,2016,44.3,55.7,-11.3,R+11.3
7,Governor,2018,54.8,45.2,9.6,D+9.6
7,Representative in Congress,2018,52.7,47.3,5.4,D+5.4
7,United States Senator,2018,52.4,47.6,4.8,D+4.8
7,President of the United States,2020,51.0,49.0,2.0,D+2.0
7,Representative in Congress,2020,50.8,49.2,1.5,D+1.5
7,United States Senator,2020,50.4,49.6,0.8,D+0.8
8,President of the United States,2016,51.2,48.8,2.4,D+2.4
8,Representative in Congress,2016,58.1,41.9,16.3,D+16.3
8,Governor,2018,56.9,43.1,13.8,D+13.8
8,Representative in Congress,2018,57.8,42.2,15.6,D+15.6
8,United States Senator,2018,54.6,45.4,9.3,D+9.3
8,President of the United States,2020,51.8,48.2,3.5,D+3.5
8,Representative in Congress,2020,53.4,46.6,6.7,D+6.7
8,United States Senator,2020,52.8,47.2,5.6,D+5.6
9,President of the United States,2016,32.7,67.3,-34.5,R+34.5
9,Representative in Congress,2016,32.5,67.5,-35.0,R+35.0
9,Governor,2018,41.2,58.8,-17.6,R+17.6
9,Representative in Congress,2018,37.7,62.3,-24.7,R+24.7
9,United States Senator,2018,39.6,60.4,-20.9,R+20.9
9,President of the United States,2020,35.7,64.3,-28.7,R+28.7
9,Representative in Congress,2020,35.7,64.3,-28.7,R+28.7
9,United States Senator,2020,36.2,63.8,-27.5,R+27.5
10,President of the United States,2016,47.1,52.9,-5.7,R+5.7
10,Representative in Congress,2016,53.0,47.0,6.1,D+6.1
10,Governor,2018,54.6,45.4,9.2,D+9.2
10,Representative in Congress,2018,54.1,45.9,8.3,D+8.3
10,United States Senator,2018,53.8,46.2,7.6,D+7.6
10,President of the United States,2020,49.5,50.5,-0.9,R+0.9
10,Representative in Congress,2020,51.9,48.1,3.8,D+3.8
10,United States Senator,2020,50.4,49.6,0.7,D+0.7
11,President of the United States,2016,57.8,42.2,15.5,D+15.5
11,Representative in Congress,2016,56.3,43.7,12.5,D+12.5
11,Governor,2018,61.7,38.3,23.4,D+23.4
11,Representative in Congress,2018,62.3,37.7,24.6,D+24.6
11,United States Senator,2018,60.0,40.0,20.1,D+20.1
11,President of the United States,2020,60.1,39.9,20.2,D+20.2
11,Representative in Congress,2020,60.2,39.8,20.3,D+20.3
11,United States Senator,2020,58.6,41.4,17.2,D+17.2
12,President of the United States,2016,70.5,29.5,41.0,D+41.0
12,Representative in Congress,2016,73.3,26.7,46.6,D+46.6
12,Governor,2018,74.9,25.1,49.7,D+49.7
12,Representative in Congress,2018,92.3,7.7,84.5,D+84.5
12,United States Senator,2018,73.5,26.5,47.0,D+47.0
12,President of the United States,2020,74.2,25.8,48.4,D+48.4
12,Representative in Congress,2020,75.9,24.1,51.7,D+51.7
12,United States Senator,2020,74.6,25.4,49.1,D+49.1
13,President of the United States,2016,57.6,42.4,15.1,D+15.1
13,Representative in Congress,2016,62.5,37.5,25.0,D+25.0
13,Governor,2018,64.1,35.9,28.1,D+28.1
13,Representative in Congress,2018,72.5,27.5,45.1,D+45.1
13,United States Senator,2018,62.2,37.8,24.3,D+24.3
13,President of the United States,2020,66.3,33.7,32.6,D+32.6
13,Representative in Congress,2020,69.4,30.6,38.8,D+38.8
13,United States Senator,2020,66.4,33.6,32.8,D+32.8
