,DISTRICTNO,dvs,rvs,margin,winner,margin_text
0,1,0.838,0.162,0.677,d,D+68
1,2,0.67,0.33,0.34,d,D+34
2,3,0.705,0.295,0.411,d,D+41
3,4,0.895,0.105,0.79,d,D+79
4,5,0.693,0.296,0.397,d,D+40
5,6,0.754,0.232,0.521,d,D+52
6,7,0.766,0.217,0.549,d,D+55
7,8,0.704,0.28,0.424,d,D+42
8,9,0.903,0.097,0.805,d,D+80
9,10,0.49,0.499,-0.009,r,R+1
10,11,0.616,0.377,0.239,d,D+24
11,12,0.712,0.27,0.442,d,D+44
12,13,0.593,0.383,0.21,d,D+21
13,14,0.656,0.317,0.339,d,D+34
14,15,0.623,0.377,0.246,d,D+25
15,16,0.782,0.197,0.585,d,D+58
16,17,0.706,0.267,0.439,d,D+44
17,18,0.827,0.173,0.654,d,D+65
18,19,0.679,0.321,0.358,d,D+36
19,20,0.53,0.452,0.078,d,D+8
20,21,0.522,0.462,0.06,d,D+6
21,22,0.491,0.509,-0.018,r,R+2
22,23,0.632,0.363,0.269,d,D+27
23,24,0.607,0.393,0.215,d,D+22
24,25,0.651,0.349,0.302,d,D+30
25,26,0.713,0.287,0.426,d,D+43
26,27,0.568,0.432,0.137,d,D+14
27,28,0.564,0.436,0.128,d,D+13
28,29,0.541,0.459,0.081,d,D+8
29,30,0.394,0.606,-0.212,r,R+21
30,31,0.544,0.456,0.087,d,D+9
31,32,0.797,0.203,0.595,d,D+60
32,33,0.749,0.251,0.497,d,D+50
33,34,0.383,0.614,-0.231,r,R+23
34,35,0.3,0.699,-0.399,r,R+40
35,36,0.329,0.671,-0.343,r,R+34
36,37,0.371,0.629,-0.258,r,R+26
37,38,0.47,0.53,-0.06,r,R+6
38,39,0.388,0.612,-0.225,r,R+22
39,40,0.511,0.489,0.023,d,D+2
40,41,0.766,0.232,0.534,d,D+53
41,42,0.42,0.564,-0.143,r,R+14
42,43,0.303,0.692,-0.388,r,R+39
43,44,0.426,0.574,-0.147,r,R+15
44,45,0.321,0.646,-0.325,r,R+32
45,46,0.488,0.488,-0.001,r,R+0
46,47,0.629,0.363,0.266,d,D+27
47,48,0.512,0.487,0.025,d,D+2
48,49,0.419,0.567,-0.147,r,R+15
49,50,0.334,0.666,-0.331,r,R+33
50,51,0.394,0.596,-0.202,r,R+20
51,52,0.417,0.583,-0.167,r,R+17
52,53,0.721,0.279,0.442,d,D+44
53,54,0.48,0.52,-0.04,r,R+4
54,55,0.441,0.559,-0.118,r,R+12
55,56,0.546,0.454,0.091,d,D+9
56,57,0.486,0.514,-0.028,r,R+3
57,58,0.523,0.471,0.052,d,D+5
58,59,0.335,0.655,-0.32,r,R+32
59,60,0.412,0.588,-0.176,r,R+18
60,61,0.564,0.436,0.128,d,D+13
61,62,0.517,0.481,0.036,d,D+4
62,63,0.388,0.612,-0.224,r,R+22
63,64,0.421,0.579,-0.159,r,R+16
64,65,0.302,0.698,-0.396,r,R+40
65,66,0.338,0.655,-0.317,r,R+32
66,67,0.445,0.555,-0.11,r,R+11
67,68,0.522,0.478,0.044,d,D+4
68,69,0.64,0.36,0.28,d,D+28
69,70,0.86,0.14,0.72,d,D+72
70,71,0.388,0.608,-0.22,r,R+22
71,72,0.459,0.541,-0.082,r,R+8
72,73,0.566,0.421,0.145,d,D+14
73,74,0.684,0.294,0.39,d,D+39
74,75,0.591,0.398,0.193,d,D+19
75,76,0.483,0.512,-0.029,r,R+3
76,77,0.613,0.369,0.244,d,D+24
77,78,0.335,0.655,-0.32,r,R+32
78,79,0.282,0.698,-0.416,r,R+42
79,80,0.51,0.469,0.042,d,D+4
80,81,0.512,0.479,0.032,d,D+3
81,82,0.725,0.263,0.463,d,D+46
82,83,0.453,0.51,-0.058,r,R+6
83,84,0.515,0.476,0.039,d,D+4
84,85,0.254,0.746,-0.492,r,R+49
85,86,0.428,0.572,-0.145,r,R+14
86,87,0.67,0.33,0.34,d,D+34
87,88,0.42,0.58,-0.159,r,R+16
88,89,0.338,0.662,-0.324,r,R+32
89,90,0.363,0.634,-0.27,r,R+27
90,91,0.354,0.642,-0.288,r,R+29
91,92,0.44,0.558,-0.118,r,R+12
92,93,0.402,0.59,-0.187,r,R+19
93,94,0.695,0.305,0.39,d,D+39
94,95,0.456,0.544,-0.089,r,R+9
95,96,0.532,0.468,0.065,d,D+6
96,97,0.398,0.602,-0.205,r,R+20
97,98,0.294,0.706,-0.412,r,R+41
98,99,0.366,0.634,-0.267,r,R+27
99,100,0.347,0.653,-0.307,r,R+31
100,101,0.328,0.672,-0.344,r,R+34
101,102,0.432,0.568,-0.136,r,R+14
102,103,0.515,0.485,0.029,d,D+3
103,104,0.367,0.633,-0.266,r,R+27
104,105,0.345,0.655,-0.311,r,R+31
105,106,0.368,0.63,-0.262,r,R+26
106,107,0.423,0.576,-0.153,r,R+15
107,108,0.408,0.592,-0.183,r,R+18
108,109,0.566,0.434,0.132,d,D+13
109,110,0.452,0.548,-0.097,r,R+10
