,DISTRICTNO,dvs,rvs,margin,winner,margin_text
0,1,0.668,0.332,0.336,d,D+34
1,2,0.605,0.395,0.211,d,D+21
2,3,0.675,0.298,0.377,d,D+38
3,4,0.543,0.457,0.086,d,D+9
4,5,0.584,0.416,0.168,d,D+17
5,6,0.573,0.413,0.16,d,D+16
6,7,0.668,0.325,0.343,d,D+34
7,8,0.598,0.39,0.209,d,D+21
8,9,0.366,0.634,-0.268,r,R+27
9,10,0.542,0.458,0.084,d,D+8
10,11,0.506,0.494,0.012,d,D+1
11,12,0.437,0.549,-0.112,r,R+11
12,13,0.468,0.528,-0.06,r,R+6
13,14,0.511,0.481,0.03,d,D+3
14,15,0.669,0.327,0.342,d,D+34
15,16,0.442,0.535,-0.092,r,R+9
16,17,0.357,0.642,-0.285,r,R+28
17,18,0.337,0.65,-0.313,r,R+31
18,19,0.448,0.469,-0.021,r,R+2
19,20,0.325,0.654,-0.329,r,R+33
20,21,0.542,0.458,0.084,d,D+8
21,22,0.343,0.633,-0.289,r,R+29
22,23,0.355,0.645,-0.29,r,R+29
23,24,0.317,0.683,-0.365,r,R+36
24,25,0.439,0.561,-0.121,r,R+12
25,26,0.467,0.533,-0.067,r,R+7
26,27,0.667,0.332,0.335,d,D+34
27,28,0.534,0.466,0.068,d,D+7
28,29,0.464,0.52,-0.056,r,R+6
29,30,0.351,0.641,-0.289,r,R+29
30,31,0.286,0.712,-0.426,r,R+43
31,32,0.471,0.529,-0.058,r,R+6
32,33,0.338,0.651,-0.313,r,R+31
33,34,0.42,0.577,-0.157,r,R+16
34,35,0.5,0.5,-0.0,r,R+0
35,36,0.396,0.603,-0.206,r,R+21
36,37,0.392,0.608,-0.216,r,R+22
37,38,0.382,0.617,-0.236,r,R+24
