district,incumbent,incumbent_party
4,"Aiyash, Abraham",D
86,"Albert, Thomas",R
64,"Alexander, Julie",R
106,"Allor, Sue",R
68,"Anthony, Sarah",D
83,"Beeler, Andrew",R
17,"Bellino, Joe",R
39,"Berman, Ryan",R
96,"Beson, Timothy",R
47,"Bezotte, Robert",R
35,"Bolden, Kyra",D
42,"Bollin, Ann",R
105,"Borton, Ken",R
55,"Brabec, Felicia",D
77,"Brann, Tommy",R
38,"Breen, Kelly",D
69,"Brixie, Julie",D
87,"Calley, Julie",R
109,"Cambensy, Sara",D
23,"Camilleri, Darrin",D
59,"Carra, Steve",R
29,"Carter, Brenda",D
6,"Carter, Tyrone",D
10,"Cavanagh, Mary",D
49,"Cherry, John",D
14,"Clemente, Cara",D
56,"Clements, TC",R
16,"Coleman, Kevin",D
107,"Damoose, John",R
81,"Eisen, Gary",R
26,"Ellison, Jim",D
30,"Farrington, Diana",R
93,"Filler, Graham",R
58,"Fink, Andrew",R
85,"Frederick, Ben",R
12,"Garza, Alex",D
98,"Glenn, Annette",R
84,"Green, Phil",R
66,"Griffin, Beth",R
62,"Haadsma, Jim",D
63,"Hall, Matt",R
99,"Hauck, Roger",R
18,"Hertel, Kevin",D
102,"Hoitenga, Michele",R
76,"Hood, Rachel",D
67,"Hope, Kara",D
32,"Hornberger, Pamela",R
82,"Howell, Gary",R
5,"Johnson, Cynthia",D
72,"Johnson, Steven",R
11,"Jones, Jewell",D
57,"Kahle, Bronna",R
20,"Koleszar, Matt",D
41,"Kuppa, Padma",D
108,"LaFave, Beau",R
75,"LaGrand, David",D
52,"Lasinski, Donna",D
13,"Liberati, Tullio",D
65,"Lightner, Sarah",R
89,"Lilly, Jim",R
40,"Manoogian, Mari",D
24,"Marino, Steve",R
110,"Markkanen, Gregory",R
48,"Martin, David",R
88,"Meerman, Luke",R
61,"Morse, Christine",D
51,"Mueller, Mike",R
34,"Neeley, Cynthia",D
101,"O'Malley, Jack",R
95,"O'Neal, Amos",D
70,"Outman, Pat",R
78,"Paquette, Brad",R
54,"Peterson, Ronnie",D
19,"Pohutsky, Laurie",D
73,"Posthumus, Bryan",R
21,"Puri, Ranjeev",D
53,"Rabhi, Yousef",D
46,"Reilly, John",R
103,"Rendon, Daire",R
60,"Rogers, Julie",D
104,"Roth, John",R
92,"Sabo, Terry",D
7,"Scott, Helena",D
25,"Shannon, Nate",D
90,"Slagh, Bradley",R
50,"Sneller, Tim",D
31,"Sowerby, William",D
37,"Steckloff, Samantha",D
22,"Steenland, Richard",D
28,"Stone, Lori",D
2,"Tate, Joe",D
3,"Thanedar, Shri",D
45,"Tisdel, Mark",R
100,"VanSingel, Scott",R
91,"VanWoerkom, Greg",R
94,"Wakeman, Rodney",R
27,"Weiss, Regina",D
79,"Wendzel, Pauline",R
97,"Wentworth, Jason",R
80,"Whiteford, Mary",R
9,"Whitsett, Karen",D
71,"Witwer, Angela",D
1,"Yancey, Tenisha",D
33,"Yaroch, Jeff",R
8,"Young, Stephanie",D
