PRECINCTID,COUNTYFIPS,MCDFIPS,WARD,PRECINCT,DISTRICTNO,intersection
WP-089-25700-00002,089,25700,00,002,103,1.0
WP-089-25700-00001,089,25700,00,001,103,1.0
WP-103-15660-00001,103,15660,00,001,109,1.0
WP-103-15660-00002,103,15660,00,002,109,1.0
WP-081-00240-00002,081,00240,00,002,81,1.0
WP-081-00240-00004,081,00240,00,004,81,1.0
WP-081-00240-00007,081,00240,00,007,81,1.0
WP-081-00240-00005,081,00240,00,005,81,1.0
WP-081-00240-00008,081,00240,00,008,81,1.0
WP-081-00240-00003,081,00240,00,003,81,1.0
WP-081-00240-00006,081,00240,00,006,80,0.0028921551957456315
WP-081-00240-00006,081,00240,00,006,81,0.9971078448042549
WP-081-00240-00001,081,00240,00,001,81,1.0
WP-147-68380-00001,147,68380,00,001,65,1.0
WP-099-68380-00002,099,68380,00,002,65,1.0
WP-041-26360-00001,041,26360,00,001,108,1.0
WP-041-26360-00002,041,26360,00,002,108,1.0
WP-041-26360-00003,041,26360,00,003,108,1.0
WP-041-26360-00004,041,26360,00,004,108,1.0
WP-145-70520-00001,145,70520,00,001,94,1.0
WP-145-70520-00002,145,70520,00,002,94,1.0
WP-145-70520-00003,145,70520,00,003,94,1.0
WP-145-70520-00004,145,70520,00,004,94,1.0
WP-145-70520-00005,145,70520,00,005,94,1.0
WP-145-70520-00006,145,70520,00,006,94,1.0
WP-145-70520-00007,145,70520,00,007,94,1.0
WP-145-70520-00008,145,70520,00,008,94,1.0
WP-145-70520-00009,145,70520,00,009,94,1.0
WP-145-70520-00010,145,70520,00,010,93,0.02573453487203338
WP-145-70520-00010,145,70520,00,010,94,0.9742654651279604
WP-145-70520-00011,145,70520,00,011,94,1.0
WP-145-70520-00012,145,70520,00,012,94,1.0
WP-145-70520-00013,145,70520,00,013,94,1.0
WP-145-70520-00015,145,70520,00,015,94,1.0
WP-145-70520-00017,145,70520,00,017,94,1.0
WP-145-70520-00020,145,70520,00,020,94,1.0
WP-145-68340-00001,145,68340,00,001,93,1.0
WP-145-68340-00002,145,68340,00,002,93,1.0
