PRECINCTID,COUNTYFIPS,MCDFIPS,WARD,PRECINCT,DISTRICTNO,intersection
WP-089-25700-00002,089,25700,00,002,37,1.0
WP-089-25700-00001,089,25700,00,001,37,1.0
WP-103-15660-00001,103,15660,00,001,38,1.0
WP-103-15660-00002,103,15660,00,002,38,1.0
WP-081-00240-00002,081,00240,00,002,30,1.0
WP-081-00240-00004,081,00240,00,004,30,1.0
WP-081-00240-00007,081,00240,00,007,30,1.0
WP-081-00240-00005,081,00240,00,005,30,1.0
WP-081-00240-00008,081,00240,00,008,30,1.0
WP-081-00240-00003,081,00240,00,003,30,1.0
WP-081-00240-00006,081,00240,00,006,30,1.0
WP-081-00240-00001,081,00240,00,001,30,1.0
WP-147-68380-00001,147,68380,00,001,25,1.0
WP-099-68380-00002,099,68380,00,002,25,1.0
WP-041-26360-00001,041,26360,00,001,38,1.0
WP-041-26360-00002,041,26360,00,002,38,1.0
WP-041-26360-00003,041,26360,00,003,38,1.0
WP-041-26360-00004,041,26360,00,004,38,1.0
WP-145-70520-00001,145,70520,00,001,35,1.0
WP-145-70520-00002,145,70520,00,002,35,1.0
WP-145-70520-00003,145,70520,00,003,35,1.0
WP-145-70520-00004,145,70520,00,004,35,1.0
WP-145-70520-00005,145,70520,00,005,35,1.0
WP-145-70520-00006,145,70520,00,006,35,1.0
WP-145-70520-00007,145,70520,00,007,35,1.0
WP-145-70520-00008,145,70520,00,008,35,1.0
WP-145-70520-00009,145,70520,00,009,35,1.0
WP-145-70520-00010,145,70520,00,010,26,0.24447047065016064
WP-145-70520-00010,145,70520,00,010,35,0.7555295293498474
WP-145-70520-00011,145,70520,00,011,35,1.0
WP-145-70520-00012,145,70520,00,012,35,1.0
WP-145-70520-00013,145,70520,00,013,35,1.0
WP-145-70520-00015,145,70520,00,015,35,1.0
WP-145-70520-00017,145,70520,00,017,35,1.0
WP-145-70520-00020,145,70520,00,020,35,1.0
WP-145-68340-00001,145,68340,00,001,26,1.0
WP-145-68340-00002,145,68340,00,002,26,1.0
