PRECINCTID,COUNTYFIPS,MCDFIPS,WARD,PRECINCT
WP-063-17140-00001,063,17140,00,001
WP-093-10620-00002,093,10620,00,002
WP-093-39540-00003,093,39540,00,003
WP-091-09020-00002,091,09020,00,002
WP-161-03000-05010,161,03000,05,010
WP-161-03000-01008,161,03000,01,008
WP-161-03000-01010,161,03000,01,010
WP-161-03000-02005,161,03000,02,005
WP-161-03000-05008,161,03000,05,008
WP-161-03020-00002,161,03020,00,002
WP-025-51940-00002,025,51940,00,002
WP-161-71940-00007,161,71940,00,007
WP-035-15920-00001,035,15920,00,001
WP-121-56320-01001,121,56320,01,001
WP-005-46760-00002,005,46760,00,002
WP-041-85240-00001,041,85240,00,001
WP-149-79760-00001,149,79760,00,001
WP-137-31720-03001,137,31720,03,001
WP-149-76960-00001,149,76960,00,001
WP-061-61260-00004,061,61260,00,004
WP-061-65540-00002,061,65540,00,002
WP-111-53780-04005,111,53780,04,005
WP-027-22880-00003,027,22880,00,003
