DISTRICTNO,dvs,rvs,margin,winner
1,0.615,0.374,0.241,d
2,0.566,0.425,0.141,d
3,0.936,0.057,0.878,d
4,0.868,0.111,0.757,d
5,0.914,0.073,0.84,d
6,0.851,0.134,0.717,d
7,0.948,0.044,0.904,d
8,0.936,0.056,0.879,d
9,0.913,0.076,0.837,d
10,0.746,0.237,0.509,d
11,0.778,0.208,0.569,d
12,0.62,0.354,0.266,d
13,0.497,0.478,0.018,d
14,0.551,0.42,0.131,d
15,0.519,0.46,0.059,d
16,0.578,0.399,0.18,d
17,0.489,0.484,0.005,d
18,0.504,0.474,0.03,d
20,0.36,0.626,-0.266,r
21,0.47,0.515,-0.045,r
22,0.546,0.425,0.122,d
23,0.462,0.518,-0.057,r
24,0.408,0.574,-0.166,r
25,0.447,0.532,-0.085,r
26,0.463,0.514,-0.051,r
27,0.639,0.34,0.299,d
28,0.553,0.424,0.129,d
29,0.667,0.316,0.351,d
30,0.39,0.59,-0.2,r
31,0.482,0.495,-0.013,r
32,0.408,0.567,-0.16,r
33,0.385,0.596,-0.21,r
34,0.891,0.092,0.798,d
35,0.743,0.249,0.493,d
36,0.312,0.67,-0.358,r
37,0.473,0.513,-0.04,r
38,0.339,0.647,-0.308,r
39,0.375,0.609,-0.234,r
40,0.328,0.664,-0.336,r
41,0.348,0.636,-0.288,r
42,0.31,0.672,-0.362,r
43,0.337,0.641,-0.304,r
44,0.316,0.662,-0.346,r
45,0.316,0.67,-0.354,r
46,0.299,0.679,-0.381,r
47,0.303,0.674,-0.371,r
48,0.574,0.396,0.178,d
49,0.672,0.304,0.368,d
50,0.534,0.444,0.09,d
51,0.415,0.559,-0.143,r
52,0.419,0.564,-0.145,r
53,0.692,0.291,0.401,d
54,0.682,0.294,0.388,d
55,0.626,0.357,0.269,d
56,0.438,0.535,-0.097,r
57,0.434,0.536,-0.102,r
58,0.359,0.61,-0.252,r
59,0.381,0.586,-0.205,r
60,0.627,0.341,0.286,d
61,0.406,0.57,-0.165,r
62,0.485,0.494,-0.009,r
63,0.371,0.603,-0.231,r
64,0.5,0.477,0.023,d
65,0.435,0.542,-0.107,r
66,0.414,0.558,-0.144,r
67,0.504,0.476,0.028,d
68,0.696,0.282,0.414,d
69,0.545,0.442,0.103,d
70,0.406,0.561,-0.154,r
71,0.487,0.494,-0.008,r
72,0.326,0.654,-0.328,r
73,0.306,0.675,-0.369,r
74,0.315,0.661,-0.346,r
75,0.624,0.344,0.28,d
76,0.44,0.538,-0.098,r
77,0.314,0.662,-0.348,r
78,0.402,0.561,-0.16,r
79,0.42,0.557,-0.136,r
80,0.334,0.639,-0.305,r
81,0.398,0.575,-0.176,r
82,0.392,0.575,-0.183,r
83,0.394,0.574,-0.18,r
84,0.4,0.57,-0.169,r
85,0.464,0.505,-0.041,r
86,0.283,0.698,-0.415,r
87,0.352,0.624,-0.271,r
88,0.211,0.772,-0.561,r
89,0.295,0.684,-0.39,r
90,0.205,0.777,-0.572,r
91,0.439,0.531,-0.092,r
92,0.59,0.382,0.207,d
93,0.442,0.54,-0.098,r
94,0.42,0.56,-0.14,r
95,0.721,0.257,0.463,d
96,0.571,0.398,0.172,d
97,0.436,0.527,-0.092,r
98,0.365,0.612,-0.247,r
99,0.458,0.508,-0.05,r
100,0.368,0.599,-0.231,r
101,0.446,0.528,-0.081,r
102,0.393,0.575,-0.182,r
103,0.407,0.559,-0.152,r
104,0.378,0.589,-0.211,r
105,0.38,0.589,-0.209,r
106,0.438,0.532,-0.094,r
107,0.406,0.567,-0.161,r
108,0.421,0.557,-0.135,r
109,0.533,0.441,0.092,d
110,0.463,0.509,-0.046,r
