DISTRICTNO,dvs,rvs,margin,winner
1,0.706,0.269,0.436,d
2,0.747,0.233,0.514,d
3,0.809,0.167,0.642,d
4,0.746,0.227,0.519,d
5,0.816,0.159,0.657,d
6,0.609,0.36,0.25,d
7,0.568,0.412,0.156,d
8,0.446,0.529,-0.083,r
9,0.61,0.358,0.253,d
10,0.488,0.489,-0.001,r
11,0.758,0.221,0.537,d
12,0.52,0.457,0.063,d
13,0.56,0.418,0.142,d
14,0.474,0.496,-0.022,r
15,0.521,0.457,0.064,d
16,0.463,0.5,-0.036,r
17,0.441,0.529,-0.088,r
18,0.826,0.154,0.672,d
19,0.434,0.529,-0.095,r
20,0.584,0.385,0.199,d
21,0.422,0.543,-0.122,r
22,0.461,0.514,-0.053,r
23,0.687,0.284,0.403,d
24,0.501,0.468,0.033,d
25,0.386,0.579,-0.193,r
26,0.447,0.52,-0.073,r
27,0.683,0.287,0.396,d
28,0.421,0.546,-0.125,r
29,0.587,0.384,0.203,d
30,0.362,0.611,-0.248,r
31,0.511,0.451,0.06,d
32,0.51,0.464,0.046,d
33,0.43,0.534,-0.105,r
34,0.482,0.484,-0.002,r
35,0.411,0.554,-0.143,r
36,0.427,0.544,-0.116,r
37,0.438,0.531,-0.092,r
38,0.467,0.505,-0.037,r
